candidate_id,company_name,company_domain,company_website,linkedin_url,recency_bucket,stage_bucket,ground_truth_stage,ground_truth_announced_on,ground_truth_amount,ground_truth_currency,ground_truth_total_raised,official_source_url,official_source_kind,official_source_publisher,official_published_at,evidence_confidence,evidence_quote,review_status
transition_0ae8eaefe7d71f45e3d9d05b167080a8,metaLead,metalead.ch,metalead.ch,https://www.linkedin.com/company/metaleadtx,3_24_months,early,,2025-05-05,1000000,CHF,,https://www.baselaunch.ch/metalead-secures-chf-1-million-investment-to-advance-novel-therapy-for-wilson-disease/,investor_announcement,BaseLaunch,2025-05-06,high,"Basel, Switzerland – May 5, 2025 – metaLead Therapeutics AG (metaLead)... announced today that it has secured CHF 1 million in funding from the UZH Life Sciences Fund (LSF).",research_confirmed_pending_human_validation
transition_0fae2c88b4380a57bab3fba943ad0906,Splend,splend.com,splend.com,https://www.linkedin.com/company/splend-global,3_24_months,later_stage,private_equity,2025-01-15,,,,https://www.ifminvestors.com/,investor_announcement,IFM Investors,2025-01-15,high,IFM Investors is pleased to announce a significant investment in Splend Group Pty Ltd... IFM's Growth Partners Fund 2 is investing in Splend... to acquire a stake of 49% in the company.,research_confirmed_pending_human_validation
transition_0faecb5623a00825cc112e0d1ae6c1fa,"In2ition AI, Inc",in2ition.ai,in2ition.ai,https://www.linkedin.com/company/in2itionai,31_90_days,early,pre_seed,2026-05-08,1000000,USD,,https://lepordo.com,investor_announcement,Lepordo Legacy Holdings,,medium,"Announcement: In2ition AI closes $1M pre-seed and debuts IRIS, the always-on AI companion.",research_confirmed_pending_human_validation
transition_108f133a8b7d3fc4d7efe410670bd2af,36ZERO Vision,36zerovision.com,36zerovision.com,https://www.linkedin.com/company/36zero-vision,3_24_months,equity_other,undisclosed,2025-07-15,3600000,EUR,,https://36zerovision.com,company_newsroom,36ZERO Vision,2025-07-15,high,"36ZERO Vision... today announced the successful closing of a €3.6 million funding round... led by an investor syndicate including JOIN Capital, Bayern Kapital, and Vanagon Ventures.",research_confirmed_pending_human_validation
transition_115a74e75243904b0fd7a7df46f5a3f7,Control Seat (YC S26),controlseat.com,controlseat.com,https://www.linkedin.com/company/control-seat,8_30_days,early,pre_seed,,,,,https://www.ycombinator.com/companies/control-seat,investor_announcement,Y Combinator,,medium,Batch: Summer 2026. Active. Location: San Francisco. Building a modern SCADA system to control and monitor factory hardware and replace legacy systems.,research_confirmed_pending_human_validation
transition_12855caa422cb931ee11414b99970374,Cardurion Pharmaceuticals,cardurion.com,cardurion.com,https://www.linkedin.com/company/cardurion,3_24_months,series_b,series_b,2024-07-16,260000000,USD,,https://cardurion.com/cardurion-pharmaceuticals-announces-260-million-series-b-financing-to-advance-its-pipeline-of-innovative-medicines-for-cardiovascular-diseases/,company_newsroom,Cardurion Pharmaceuticals,2024-07-16,high,"Cardurion Pharmaceuticals, Inc... today announced it has raised a $260 million Series B financing led by Ascenta Capital, with participation by new investors... as well as existing investors Bain Capital...",research_confirmed_pending_human_validation
transition_13fa64c08c5d1cd5daead21a8eccaaca,Rebellions,rebellions.ai,rebellions.ai,https://www.linkedin.com/company/rebellions-ai,3_24_months,later_stage,pre_ipo,2026-03-30,400000000,USD,850000000,https://rebellions.ai/newsroom,company_newsroom,Rebellions,2026-03-30,high,"Rebellions, a global leader in AI inference infrastructure, has raised $400 million in a pre-IPO funding round led by Mirae Asset Financial Group and the Korea National Growth Fund.",research_confirmed_pending_human_validation
transition_156dfa08e4762c2408970524c10d7ffc,BIOSORRA,biosorra.com,biosorra.com,https://www.linkedin.com/company/biosorra,3_24_months,early,seed,2025-10-07,3500000,USD,,https://biosorra.com,company_newsroom,BIOSORRA,2025-10-07,high,"""October 7th, 2025. BIOSORRA Secures $3.5M Funding... Led by atmosfair and Fondo Nimbus, this new investment will expand BIOSORRA's biochar production in Kenya...""",research_confirmed_pending_human_validation
transition_15ca7e892a5e20bc1cf3961476f19b7e,Lovable,lovable.dev,lovable.dev,https://www.linkedin.com/company/lovable-dev,3_24_months,series_b,Series B,2025-12-18,330000000,USD,,https://lovable.dev/blog/lovable-raises-330m-to-power-the-age-of-the-builder,company_newsroom,Lovable,2025-12-18,high,"Today, we're announcing that Lovable has raised $330 million in Series B funding at a $6.6 billion valuation, led by CapitalG and Menlo Ventures' Anthology fund.",research_confirmed_pending_human_validation
transition_17963ae18a8ae8347dc58f414623f3b5,Fifth Sense,itsfifthsense.com,itsfifthsense.com,https://www.linkedin.com/company/itsfifthsense,31_90_days,early,pre_seed,2026-04-17,63000000,INR,,https://businessnewsthisweek.com/business/fifth-sense-raises-inr-6-3-cr-to-reimagine-fragrance-as-a-form-of-self-expression/,company_issued_wire,Business News This Week,2026-04-17,medium,"Gurugram, Apr 17: FIFTH SENSE, a new-age fragrance brand, has secured ₹6.3 crore in pre-seed funding led by OTP Ventures along with Sadev Ventures, ISV Capital",research_confirmed_pending_human_validation
transition_17ee76bbdba1f482acea0384dfe06cd2,Tapcheck,tapcheck.com,tapcheck.com,https://www.linkedin.com/company/tapcheckinc,3_24_months,series_a,series_a,2025-04-14,25000000,USD,,https://tapcheck.com/,company_newsroom,Tapcheck,2025-04-14,high,"This latest funding includes a $25 million Series A extension round led by existing investor, PeakSpan Capital, and a $200 million credit facility provided by Victory Park Capital.",research_confirmed_pending_human_validation
transition_192a84c3254cdc509e0db244c5297abb,COUR Pharma,courpharma.com,courpharma.com,https://www.linkedin.com/company/courpharma,8_30_days,series_b,series_b,2026-06-18,50000000,USD,,https://courpharma.com/news/,company_newsroom,COUR Pharma,2026-06-18,high,"COUR Pharma... announced today it has closed a $50 million Series B funding round led by existing investors Lumira Ventures and Roche Venture Fund with participation from new investor, Sanofi.",research_confirmed_pending_human_validation
transition_1a93f91fa9d28bf4722e63da4ef73d98,Swyft,myswyftapp.com,myswyftapp.com,https://www.linkedin.com/company/swyft-app,3_24_months,early,pre_seed,,,,,https://umiif.com/,investor_announcement,UM International Investment Fund,,medium,"Swyft. Year Founded: 2019. Investment Year: 2025. Corporate Office: Douala, Cameroon... Swyft offers last-mile delivery to Cameroon's residents...",research_confirmed_pending_human_validation
transition_1b8932d1bd9e3a47a61df0579e3b0ef0,Vero Networks,veronetworks.com,veronetworks.com,https://www.linkedin.com/company/vero-networks,3_24_months,later_stage,private_equity,2026-02-23,500000000,USD,,https://www.globenewswire.com/news-release/2026/02/23/VFN-Holdings-Inc-Vero-Networks-Announces-500-Million-Strategic-Investment.html,company_issued_wire,GlobeNewswire,2026-02-23,high,"VFN Holdings, Inc. (“Vero Networks”), a leading fiber infrastructure business, today announced the successful closing of a $500 million non-control growth equity investment led by funds managed by Hamilton Lane.",research_confirmed_pending_human_validation
transition_1cdbfbedfbc11feb98e9a8629be8062a,Glint Solar,glintsolar.com,glintsolar.ai,https://www.linkedin.com/company/glint-solar,3_24_months,series_a,series_a,2024-11-07,8000000,USD,,https://www.glintsolar.com/,company_newsroom,Glint Solar,2024-11-07,high,"Today we're thrilled to announce an $8 million Series A funding round led by Smedvig Ventures with participation from Momentum, Futurum Ventures, and Antler!",research_confirmed_pending_human_validation
transition_1d458e521866d7e86f41e07bb5931082,Tiny Wine,tinywine.co.uk,tinywine.co.uk,https://www.linkedin.com/company/tiny-wine,3_24_months,equity_other,equity_crowdfunding,2026-02-12,43620,GBP,,https://www.crowdcube.com/companies/tiny-wine,investor_announcement,Crowdcube,2026-02-12,medium,"Tiny Wine® offers premium wines in small format bottles... tinywine.co.uk. Equity. SEIS... Closed. raised: £43,620. investors: 70. This opportunity is now closed to investment.",research_confirmed_pending_human_validation
transition_1df3a8cff5d29205529e265915a03b4c,Realm,withrealm.com,withrealm.com,https://www.linkedin.com/company/withrealm,31_90_days,early,seed,2026-04-22,4500000,USD,,https://www.prnewswire.com/news-releases/realm-raises-4-5m-to-bring-the-cursor-moment-to-enterprise-sales-302750020.html,company_issued_wire,PR Newswire,2026-04-22,high,Realm has raised a $4.5 million Seed round to speed up enterprise sales cycles. Its platform gives AI the structured context needed to automate deal-defining materials.,research_confirmed_pending_human_validation
transition_1eaa7b2b750c34b928d79f44cfd10394,Sequentia Biotech,sequentiabiotech.com,sequentiabiotech.com,https://www.linkedin.com/company/sequentiabiotech,3_24_months,series_a,series_a,2024-09-30,10000000,EUR,,https://www.sequentiabiotech.com/sequentia-biotech-secures-e10million-equity-investment-from-seventure-partners-and-the-eic-fund-to-boost-bioinformatic-solutions-for-clinical-industrial-and-research-applications/,company_newsroom,Sequentia Biotech,2024-09-30,high,"Sequentia Biotech, a #deeptech and leading bioinformatics company focused on the analysis and application of omics data, announces a €10million Series A, led by Seventure Partners",research_confirmed_pending_human_validation
transition_20bf5eff04e0ad67e13334f776ff4369,Sleuth,sleuthinsights.com,sleuthinsights.com,https://www.linkedin.com/company/sleuth-insights,31_90_days,early,seed,2026-04-21,8000000,USD,,https://sleuthinsights.com/resources,company_newsroom,Sleuth Insights,2026-04-21,high,"Sleuth Insights, Inc., an AI decision platform for pharmaceutical and biotech intelligence teams, today announced its launch from stealth with $8 million in seed funding led by Bison Ventures.",research_confirmed_pending_human_validation
transition_20e304d1d3a4ff9bcff8269a9ea683b6,SpartanX.ai,spartanx.ai,spartanx.ai,https://www.linkedin.com/company/spartanxai,31_90_days,early,seed,2026-04-21,,,,https://www.prnewswire.com/news-releases/spartanx-closes-seed-round-led-by-venture-guides-establishes-global-headquarters-in-boston-and-appoints-president-and-coo-to-scale-go-to-market-operations-302746617.html,company_issued_wire,PR Newswire,2026-04-21,high,"SpartanX, the AI-native offensive security company... today announced the close of its seed round led by Venture Guides, with participation from additional angel and corporate investors.",research_confirmed_pending_human_validation
transition_2128b2cdb1cc0e6e47b2e7c1b680082b,Exodigo,exodigo.com,exodigo.com,https://www.linkedin.com/company/exodigo,3_24_months,series_b,series_b,2025-07-16,96000000,USD,214000000,https://www.globenewswire.com/news-release/2025/07/16/Exodigo-Brings-AI-Efficiency-to-Infrastructure-Industry-Closes-96-Million-Series-B,company_issued_wire,GlobeNewswire,2025-07-16,high,"Exodigo, the artificial intelligence (AI) and multi-sensing innovator... today announced the close of a $96 million Series B round, for a total of $214 million in funding since its launch in 2021.",research_confirmed_pending_human_validation
transition_21c5ea7cab8db945fee71cdbb23e69c4,T.D. Williamson,tdwilliamson.com,tdwilliamson.com,https://www.linkedin.com/company/tdw,3_24_months,later_stage,private_equity,2025-06-10,,,,https://www.tdwilliamson.com,company_newsroom,T.D. Williamson,2025-06-10,high,"T.D. Williamson (“TDW”), a global leader in pipeline infrastructure technology and services, announced today a strategic investment from funds managed by Apollo (NYSE: APO) (the “Apollo Funds”).",research_confirmed_pending_human_validation
transition_24af82da25388738939f8e837faf8c77,aisy,aisy.ai,aisy.ai,https://www.linkedin.com/company/aisy,3_24_months,early,pre-seed,2026-01-30,2300000,USD,,https://aisy.ai/,company_newsroom,Aisy,2026-01-30,high,"With $2.3 million in pre-seed funding from Osney Capital, Flying Fish Ventures, and 6 Degrees Capital, Aisy's threat-focused security platform turns overwhelming vulnerability data into clear, attacker-driven priorities",research_confirmed_pending_human_validation
transition_2572483a584d0a13260380f1aa0776a5,Hypershell,hypershell.tech,hypershell.tech,https://www.linkedin.com/company/hypershell-tech,31_90_days,series_b,series_b,2026-05-18,50000000,USD,,https://www.prnewswire.com/,company_issued_wire,PR Newswire,2026-05-20,high,"As Hypershell continues expanding the initiative globally, the company also recently announced the completion of a US$50 million Series B+ financing round. This round was led by Ant Group and DragonBall Capital...",research_confirmed_pending_human_validation
transition_257603f70d936402abd371e1fe38b9f2,American Rebel Beverage,americanrebelbeer.com,americanrebelbeer.com,https://www.linkedin.com/company/americanrebelbeverage,8_30_days,equity_other,equity_crowdfunding,2026-06-27,147863.67,USD,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002134397,regulatory_filing,SEC,2026-06-30,high,"The Offering successfully reached its Target Offering Amount on June 27, 2026, having closed on funds totaling $147,863.67.",research_confirmed_pending_human_validation
transition_25be717bd0b22c7fbfd283a54072cbc0,Odyssey,odyssey.ml,odyssey.ml,https://www.linkedin.com/company/odysseyml,8_30_days,series_b,series_b,2026-06-17,310000000,USD,,https://odyssey.ml,company_newsroom,Odyssey,2026-06-17,high,Today is a big day for Odyssey: we're thrilled to announce our $310 million Series B at a $1.45 billion valuation led by Natural Capital...,research_confirmed_pending_human_validation
transition_2838c13a635b180a6d8a8492fbf6f465,Iontra Inc,iontra.com,iontra.com,https://www.linkedin.com/company/iontra,3_24_months,later_stage,series_c,2024-11-20,45000000,USD,120300000,https://www.prnewswire.com/news-releases/iontra-closes-45-million-series-c-to-deliver-launch-of-the-industrys-first-integrated-risc-v-charge-control-and-fuel-gauge-microcontroller-302311283.html,company_issued_wire,PR Newswire,2024-11-20,high,"Iontra Inc, a Colorado-based leader in next-generation battery charging technology, announced today that it has successfully completed its $45M Series C funding round",research_confirmed_pending_human_validation
transition_294df5432a946031c7c7de5a983d4f6c,Observable Space,observable.space,observable.space,https://www.linkedin.com/company/observable-space,31_90_days,series_a,series_a,2026-05-28,90000000,USD,,https://observable.space,company_newsroom,Observable Space,2026-05-28,high,"Observable Space is also announcing the close of its $90 million Series A funding round, led by Lux Capital, co-led by Upfront Ventures, Detroit Venture Partners...",research_confirmed_pending_human_validation
transition_29600719c6a50e9bff391c2a30d9309e,flex,flex.team,flex.team,https://www.linkedin.com/company/flexteamofficial,3_24_months,series_b,series_b,2025-06-11,10000000000,KRW,,https://flex.team,company_newsroom,Flex Corp,2025-06-11,high,"국내 유일의 올인원 HR 플랫폼 '플렉스(flex)'가 '한리버파트너스'로 부터 기업가치 5,000억 원을 평가받으며, 100억 원 규모의 시리즈 B-1 브릿지 투자를 유치했다고 11일 밝혔다.",research_confirmed_pending_human_validation
transition_298c51803597b7a9c70948bb8a4fd9d2,"Fermelanta, Inc.",fermelanta.com,fermelanta.com,https://www.linkedin.com/company/fermelanta,3_24_months,series_a,Series A,2025-08-28,2000000000,JPY,4800000000,https://fermelanta.com/,company_newsroom,"Fermelanta, Inc.",2025-08-28,high,"Fermelanta raised JPY 2 bn (USD 13.8 m) in Series A funding, bringing its total funding to JPY 4.8 bn (USD 33.1 m)",research_confirmed_pending_human_validation
transition_2ba2b40bc5a7f6ad2ff241450168ab9e,Zellify,zellify.app,zellify.app,https://www.linkedin.com/company/zellifyapp,31_90_days,early,seed,2026-04-28,3100000,EUR,,https://connectventures.co/insights/investing-in-zellify/,investor_announcement,Connect Ventures,2026-04-28,high,"Today, we're proud to announce that Connect Ventures led Zellify's €3.1m seed round, joined by Dreamcraft Ventures, Inovia, FJ Labs, and Ventures Together",research_confirmed_pending_human_validation
transition_2c7ea1c87a922fa3945d3ae042ee4f35,Coast To Coast Logistics,coasttocoastlogistics.com,coasttocoastlogistics.com,https://www.linkedin.com/company/coast-to-coast-logistics,3_24_months,later_stage,private_equity,2025-02-11,,,,https://www.hh-cp.com/hidden-harbor-capital-invests-in-coast-to-coast-logistics/,investor_announcement,Hidden Harbor Capital Partners,2025-02-11,high,"Hidden Harbor Capital Partners... is pleased to announce a strategic investment in Coast to Coast Logistics, LLC",research_confirmed_pending_human_validation
transition_2d841c37a141fe1291033786a57c3e28,Grain,grainfinance.co,grainfinance.co,https://www.linkedin.com/company/grainfinance,3_24_months,series_a,Series A,2025-03-05,33000000,USD,51000000,https://www.newswire.com/news/grain-secures-over-50-million-to-launch-ai-driven-foreign-exchange-22521990,company_issued_wire,Newswire,2025-03-05,high,"Grain, a fintech company... announced today that it has raised over $50 million in funding. The company recently closed a $33 million Series A round led by Bain Capital Ventures",research_confirmed_pending_human_validation
transition_2dcba3a83fcd7e3a3779cb233fbf3ab7,Nitra,nitra.com,nitra.com,https://www.linkedin.com/company/nitrahq,3_24_months,series_b,series_b,2026-03-10,50000000,USD,205000000,https://www.prnewswire.com/news-releases/nitra-raises-187-million-as-ai-native-platform-for-healthcare-practices-surpasses-1-billion-in-processing-volume-302708918.html,company_issued_wire,PR Newswire,2026-03-10,high,The financing includes $72 million of new equity across a $50 million Series B round and a previously unannounced $22 million Series A completed in August 2025,research_confirmed_pending_human_validation
transition_3168b67fc702b8f1313ed89492966752,Equal,equal.in,equal.in,https://www.linkedin.com/company/equal-in,31_90_days,series_b,series_b,2026-06-12,30000000,USD,,https://www.prosus.com,investor_announcement,Prosus Ventures,2026-06-24,high,"Equal AI, India's First AI Call Assistant, has secured US$30 million in its Series-B round in tranches co-led by Prosus Ventures and Tomales Bay Capital.",research_confirmed_pending_human_validation
transition_347b2d463ff77c50dd1ec1056afbc5ba,Kin Health,meetkin.com,meetkin.com,https://www.linkedin.com/company/meetkin,31_90_days,early,seed,2026-05-18,9000000,USD,,https://www.businesswire.com,company_issued_wire,Business Wire,2026-05-18,high,"LOS ANGELES--(BUSINESS WIRE)--Kin Health, a free app that allows patients to remember and act upon doctors' advice, today announced a $9 million seed round led by Maveron...",research_confirmed_pending_human_validation
transition_36264d56ab7b78440b4c41a4e71c284f,Pyka,flypyka.com,flypyka.com,https://www.linkedin.com/company/flypyka,3_24_months,series_b,series_b,2024-09-23,40000000,USD,,https://www.flypyka.com,company_newsroom,Pyka,2024-09-23,high,"Pyka, an electric aviation technology leader that designs and manufactures large-scale autonomous electric aircraft, today announced a $40M Series B raise.",research_confirmed_pending_human_validation
transition_376f5500eb7767c80188d443b6c202da,RAINBOW,userainbow.com,userainbow.com,https://www.linkedin.com/company/userainbow,3_24_months,series_a,series_a,2025-01-15,8000000,USD,20000000,https://www.businesswire.com/news/home/20250115735260/en/Rainbow-Announces-8-Million-Series-A-Funding-to-Expand-Small-Business-Insurance-Offerings,company_issued_wire,Business Wire,2025-01-15,high,"Rainbow... has announced raising $8 million in Series A funding, led by Zigg Capital. The financing, which closed in Q4 2024, will accelerate the company's plans to expand its specialized underwriting approach",research_confirmed_pending_human_validation
transition_37c4dfab39c77d788ff33b4224369470,Ethermed,ethermed.ai,ethermed.ai,https://www.linkedin.com/company/ethermed-ai,31_90_days,series_a,Series A,2026-04-16,8500000,USD,,,company_issued_wire,EIN Presswire,2026-04-16,high,"Ethermed, a healthcare technology company building AI-driven automation for prior authorization... has raised $8.5 million in Series A funding",research_confirmed_pending_human_validation
transition_37ced1e3bdac814363580634df65b9d3,Ennov,en.ennov.com,en.ennov.com,https://www.linkedin.com/company/ennov,31_90_days,later_stage,private_equity,2026-05-20,,,,https://www.businesswire.com,company_issued_wire,Business Wire,2026-05-20,high,"Ennov, a global provider of end-to-end regulatory, quality, and clinical software solutions... today announced a strategic growth investment led by Bregal Sagemount... with participation from Ardian.",research_confirmed_pending_human_validation
transition_37d4f93bb73082f5b050c45220e3b336,Cube,cube.asia,cube.asia,https://www.linkedin.com/company/cube-ecom,31_90_days,series_a,series_a,2026-04-28,3700000,USD,,https://betatron.co/insights/cube-raises-us37-million-to-help-leading-brands-grow-faster-online,investor_announcement,Betatron Venture Group,2026-04-28,high,"We're proud to have led the $3.7M Series A round into Cube, joined by M Venture Partners, and building on the continued support of existing backers",research_confirmed_pending_human_validation
transition_39a704712188945472808f50d6589caa,Ferrivia,ferrivia.ai,ferrivia.ai,https://www.linkedin.com/company/ferrivia-ai,8_30_days,early,Seed,2026-06-17,50000,EUR,,https://www.helsinki.fi/en/news/innovations,investor_announcement,University of Helsinki,2026-06-17,high,"One company looking to meet this demand is the recently established startup Ferrivia Oy, which has secured a €50,000 investment from the University of Helsinki Funds through the HELSEED entrepreneurship programme.",research_confirmed_pending_human_validation
transition_39ce8b4114b58f50ce51d3c6590bcc66,Nebulock,nebulock.io,nebulock.io,https://www.linkedin.com/company/nebulock-inc,8_30_days,series_a,Series A,2026-06-25,25000000,USD,,https://www.businesswire.com/news/home/20260625381441/en/Nebulock-Raises-%2425-Million-Series-A-to-Bring-a-Hunt-First-Context-to-the-Enterprise,company_issued_wire,Business Wire,2026-06-25,high,"Nebulock, the AI-native contextual security platform, today announced it has raised $25 million in Series A financing led by FirstMark.",research_confirmed_pending_human_validation
transition_3c26a56c1e0cdd2a6ff58141b5fae57a,DAMALO,damalo.ai,damalo.ai,https://www.linkedin.com/company/damalo,31_90_days,early,angel,,350000,EUR,,https://damalo.ai,company_newsroom,DAMALO,,high,"DAMALO Closes First Funding Round at €350,000. Category: News. Date: April 2026.",research_confirmed_pending_human_validation
transition_3c33d420c3205a156afece2a8d345da6,TriFetch,trifetch.ai,trifetch.ai,https://www.linkedin.com/company/trifetch,31_90_days,early,pre_seed,2026-04-27,1900000,USD,,https://trifetch.ai/,company_newsroom,TriFetch,2026-04,high,Out of stealth · April 2026·$1.9M Pre-Seed · Nexus Venture Partners. End-to-end admin automation. Built for the way your clinic works.,research_confirmed_pending_human_validation
transition_3db96928be5fdeb448cce6f17b37140c,Heven AeroTech,hevendrones.com,hevendrones.com,https://www.linkedin.com/company/hevenaerotech,3_24_months,series_b,Series B,2025-12-01,100000000,USD,,https://www.prnewswire.com,company_issued_wire,PR Newswire,2025-12-01,high,"Heven AeroTech, a pioneer in hydrogen-powered Unmanned Aerial Systems (UAS), today announced a $100 million raise through a Series B round",research_confirmed_pending_human_validation
transition_3df5e9d9c1e224f325c54395508810e5,Modern Life,modernlife.com,modernlife.com,https://www.linkedin.com/company/modernlife,3_24_months,series_a,Series A,2025-11-19,20000000,USD,35000000,https://www.prnewswire.com/news-releases/modern-life-raises-20-million-series-a-to-empower-advisors-with-ai-powered-life-insurance-platform-302310115.html,company_issued_wire,PR Newswire,2025-11-19,high,"Modern Life, the AI-powered life insurance brokerage... announced today that it has raised $20 million in Series A funding led by Thrive Capital... Bringing its total raised to $35 million.",research_confirmed_pending_human_validation
transition_3e5800cac3b0230af6cd705b2bd7cb56,Boost.space,boost.space,boost.space,https://www.linkedin.com/company/boost-space,3_24_months,early,seed,2025-10-21,6500000,USD,,https://boost.space,company_newsroom,Boost.space,2025-10-21,high,"We are thrilled to share a huge milestone in the history of Boost.space! We have successfully closed our seed funding round, raising a total of $6.5 million",research_confirmed_pending_human_validation
transition_3ebbd0308c09da861a8ca86dcbd0c5b5,Foretell My Health,en.foretell.bio,en.foretell.bio,https://www.linkedin.com/company/foretellmyhealth,3_24_months,early,pre-series a,2025-07-02,,,,https://foretell.bio,company_newsroom,Foretell My Health,2025-07-05,high,포어텔마이헬스가 발견 시 이미 3기인 경우가 많은 난소암을 채혈만으로 조기에 진단하는 기술로 의사 출신 투자자들의 공감을 얻어 프리시리즈A 투자 유치에 성공했습니다.,research_confirmed_pending_human_validation
