candidate_id,company_name,company_domain,ground_truth_stage,ground_truth_announced_on,ground_truth_amount,ground_truth_currency,ground_truth_total_raised,official_source_url,official_source_kind,official_source_publisher,official_published_at,evidence_confidence,evidence_quote,review_status
ww_ed211940ace03819fc9d3bf950c0aef6,Cyclops,cyclops.io,Series A,2026-07-15,20000000,USD,,https://cyclops.io/blog/series-a,company_newsroom,Cyclops,2026-07-15,high,,official_source_confirmed_pending_human_validation
ww_d851744f89296ce0104c2a132fc83666,Databento,databento.com,Series B,2026-07-09,97000000,USD,,https://databento.com/blog/series-b,company_newsroom,Databento,2026-07-09,high,,official_source_confirmed_pending_human_validation
fiber-ww_86c6251c4995be23461e8d79ae8b4cf0,"DiPonio Contracting, Inc.",diponiocontracting.com,private_equity,2026-06-22,,,,https://evolutionstrategy.com,investor_announcement,Evolution Strategy Partners,2026-06-22,high,,research_confirmed_pending_human_validation
ww_435fc1da4c326adae0d95d053c0b7fca,Emergent,emergent.sh,series_c,2026-07-15,130000000,USD,,https://www.businessinsider.com/emergent-ceo-vibe-coding-software-engineer-ai-2026-7,user_verified_exception_secondary_media,Business Insider,2026-07-15,user_verified,,official_source_confirmed_pending_human_validation
fiber-ww_a53d5e6862e0e98f3f55948dfdcba83f,EMO.energy,emoenergy.in,pre-Series B,2026-07-10,590000000,INR,,https://gruhas.com,investor_announcement,Gruhas,2026-07-10,high,,research_confirmed_pending_human_validation
fiber-ww_60210f5efb20b0e3dfaecbd36489d006,Everlab,everlab.com.au,series_a,2026-06-16,65000000,AUD,,https://www.businesswire.com,company_issued_wire,Business Wire,2026-06-16,high,,research_confirmed_pending_human_validation
ww_76479395f3ac7f1ca4934a3b69da7f2c,FAVE,favemixes.com,Seed,2026-07-15,1000000,USD,,https://www.prnewswire.com/news-releases/fave-raises-1-million-seed-round-led-by-supernatural-ventures-and-launches-nationwide-at-sprouts-farmers-market,company_issued_wire,PR Newswire,2026-07-15,high,,official_source_confirmed_pending_human_validation
fiber-ww_39a704712188945472808f50d6589caa,Ferrivia,ferrivia.ai,Seed,2026-06-17,50000,EUR,,https://www.helsinki.fi/en/news/innovations,investor_announcement,University of Helsinki,2026-06-17,high,,research_confirmed_pending_human_validation
fiber-ww_ff6bb66eb5c8e7037a8f423b76de5833,Floqer,floqer.com,pre_seed,2026-06-30,2000000,CAD,,https://www.floqer.com/blog/floqer-raises-2m,company_newsroom,Floqer,2026-06-30,high,,research_confirmed_pending_human_validation
fiber-ww_b62ffa4f0f4f271a7fee5ea3b3f878b1,Frontier Health,frontierhealth.ai,seed,2026-06-18,16000000,USD,,https://atomico.com/insights,investor_announcement,Atomico,2026-06-25,high,,research_confirmed_pending_human_validation
ww_d8d17e39ecb16737bbf1223762d1f950,Gauntlet Networks,gauntlet.xyz,Series C,2026-07-09,125000000,USD,,https://gauntlet.xyz/news/gauntlet-networks-raises-125-million-series-c,company_newsroom,Gauntlet Networks,2026-07-09,high,,official_source_confirmed_pending_human_validation
fiber-ww_d7be3a017f8bda3309a89c250a129d87,Prosper AI,getprosper.ai,series_a,2026-06-22,30000000,USD,,https://www.globenewswire.com,company_issued_wire,GlobeNewswire,2026-06-22,high,,research_confirmed_pending_human_validation
ww_d1718277a8ed72d16ab410e11f6cd92e,Glacis Labs,glacislabs.com,Seed,2026-07-15,6800000,USD,,https://www.prnewswire.com/news-releases/glacis-labs-raises-6-8-million-seed-round-to-scale-zerodelta-the-clearing-layer-for-digital-assets,company_issued_wire,PR Newswire,2026-07-15,high,,official_source_confirmed_pending_human_validation
fiber-ww_7f29b291859592a9abc23997f52ec8a8,Rentify 🇦🇪,gorentify.com,seed,2026-06-22,2000000,USD,2500000,https://www.zawya.com,company_issued_wire,Zawya,2026-07-01,high,,research_confirmed_pending_human_validation
ww_4b64ddaeb6fc4b9fb558981229ac6d4b,Grace Investment Machine,graceim.ai,Series A,2026-07-09,20000000,USD,,https://www.prnewswire.com/news-releases/gim-raises-us20-million-series-a-as-agentic-investing-enters-live-execution-302821550.html,company_issued_wire,PR Newswire,2026-07-09,high,,official_source_confirmed_pending_human_validation
fiber-ww_acc4cdb6a53958bb5162ef713791703c,Gradial,gradial.com,series_c,2026-06-17,65000000,USD,,https://gradial.com,company_newsroom,Gradial,2026-06-17,high,,research_confirmed_pending_human_validation
ww_5fde04752282c91e0a5a6879b852ed42,Gradium,gradium.ai,seed,2026-07-08,100000000,USD,,https://gradium.ai/blog/gradium-extends-funding-silicon-valley,company_newsroom,Gradium,2026-07-08,high,,official_source_confirmed_pending_human_validation
fiber-ww_6d0d21d5e97ffcb4a796711da59977d4,Heartstone Farm,heartstonefarm.com,equity_crowdfunding,2026-06-17,792985,USD,,https://www.sec.gov/Archives/edgar/data/2033917/000203391726000006/0002033917-26-000006-index.htm,regulatory_filing,SEC,2026-06-17,medium,,research_confirmed_pending_human_validation
ww_08bd2ee91f004fc9ff55d3f133c52f3b,Helsing,helsing.ai,Series E,2026-07-13,1800000000,USD,,https://helsing.ai,company_newsroom,Helsing,2026-07-13,high,,official_source_confirmed_pending_human_validation
ww_0630943178d9bad6e35a51094751b5aa,HTG Medical,htgmedical.com,Pre-Seed,2026-07-14,450000,EUR,,https://www.einnews.com/pr_news/jic-ventures-backs-htg-medical-the-czech-medtech-automating-intensive-care-monitoring,company_issued_wire,JIC Ventures / EIN Presswire,2026-07-14,high,,official_source_confirmed_pending_human_validation
ww_5daf89f459b90aca618ca34a7193f3c9,InstaLILY AI,instalily.ai,Series B,2026-07-14,60000000,USD,,https://www.accessnewswire.com/press-release/instalily-ai-announces-60-million-series-b,company_issued_wire,ACCESS Newswire,2026-07-14,high,,official_source_confirmed_pending_human_validation
fiber-ww_c93c80d43181ab6ec92e251c7f49699c,Isometric,isometric.com,Series A,2026-06-22,40000000,USD,,https://isometric.com,company_newsroom,Isometric,2026-06-22,high,,research_confirmed_pending_human_validation
fiber-ww_dbcdb4e7851b9228bafed70570b9801c,J-Elephant,jelep.com,strategic_investment,2026-06-22,,,,https://www.prnewswire.com/news-releases/j-elephant-received-strategic-investment-from-geek-expanding-partnership-in-pallet-warehouse-automation,company_issued_wire,PR Newswire,2026-06-22,medium,,research_confirmed_pending_human_validation
fiber-ww_9779188141a17102f5d463c2066360b6,Upside,joinupside.com,series_a,2026-06-25,20000000,USD,,https://www.prnewswire.com/news-releases/upside-lands-20m-series-a-to-solve-the-us-housing-crisis-for-healthcare-302810401.html,company_issued_wire,PR Newswire,2026-06-25,high,,research_confirmed_pending_human_validation
ww_4d95099930f7d94b4c2b3ed5e4a98846,Kraken Technology Group,krakentechnology.com,Series B,2026-07-09,175000000,USD,,https://krakentechnology.com/news/kraken-technology-group-raises-175m-at-1bn-valuation,company_newsroom,Kraken Technology Group,2026-07-09,high,,official_source_confirmed_pending_human_validation
ww_e2b2fd7c351cc6a4c2352ff10e2dd887,Leo Cancer Care,leocancercare.com,Series D,2026-07-08,65000000,USD,,https://www.leocancercare.com/news/leo-cancer-care-raises-65m-series-d,company_newsroom,Leo Cancer Care,2026-07-08,high,,official_source_confirmed_pending_human_validation
fiber-ww_485579538322161860e61ac2d960a4bb,Flagright,link.flagright.com,series_a,2026-06-17,12500000,USD,,https://flagright.com,company_newsroom,Flagright,2026-06-17,high,,research_confirmed_pending_human_validation
ww_9b25cdd815b423c83673ba439f145f81,Linker Finance,linkerfinance.com,Seed,2026-07-14,5000000,USD,,https://www.prnewswire.com/news-releases/linker-finance-secures-5-million-seed-to-accelerate-growth-engine-for-community-banks,company_issued_wire,PR Newswire,2026-07-14,high,,official_source_confirmed_pending_human_validation
ww_b31c0e51eefbd61d1447f14d2260c225,Lumin Digital,lumindigital.com,growth equity,2026-07-15,115000000,USD,,https://www.businesswire.com/news/home/20260715000000/en/Lumin-Digital-Raises-115-Million-in-New-Capital,company_issued_wire,Business Wire,2026-07-15,high,,official_source_confirmed_pending_human_validation
fiber-ww_5e2ef3a841ceb87a991ceba1e7a89ce8,ZEROG Aircraft Industry,lzlair.com,Series B,2026-06-17,500000000,CNY,,https://lzlair.com,company_newsroom,ZEROG Aircraft Industry,2026-06-17,high,,research_confirmed_pending_human_validation
fiber-ww_f9e3fb606b9636e29d67b823b8cfdf9e,Merit Restorations,meritrestorations.com,private_equity,2026-06-17,,,,https://www.einpresswire.com,company_issued_wire,EIN Presswire,2026-06-17,high,,research_confirmed_pending_human_validation
ww_b566ea04e0d9db7c7df13c7d54b4fd64,Monumental,monumental.co,Series B,2026-07-15,32000000,USD,,https://www.monumental.co/news/announcing-our-32-million-series-b,company_newsroom,Monumental,2026-07-15,high,,official_source_confirmed_pending_human_validation
ww_cd78db116daaf16c639a8796d4dae9bf,MountainSeed,mountainseed.com,growth equity,2026-07-09,38000000,USD,,https://www.globenewswire.com/news-release/2026/07/09/MountainSeed-Secures-38-Million-Growth-Investment-From-Long-Ridge-Equity-Partners.html,company_issued_wire,GlobeNewswire,2026-07-09,high,,official_source_confirmed_pending_human_validation
fiber-ww_39ce8b4114b58f50ce51d3c6590bcc66,Nebulock,nebulock.io,Series A,2026-06-25,25000000,USD,,https://www.businesswire.com/news/home/20260625381441/en/Nebulock-Raises-%2425-Million-Series-A-to-Bring-a-Hunt-First-Context-to-the-Enterprise,company_issued_wire,Business Wire,2026-06-25,high,,research_confirmed_pending_human_validation
ww_565e9b9e3fc83e37b0e6d6ca79efb32d,Neko Health,nekohealth.com,Series C,2026-07-15,700000000,USD,,https://www.nekohealth.com,company_newsroom,Neko Health,2026-07-15,high,,official_source_confirmed_pending_human_validation
fiber-ww_aa9bc730bd5c6de4bce3d2abf148eabc,Netris,netris.io,Series A,2026-06-25,15000000,USD,,https://www.netris.io/news/,company_newsroom,Netris,2026-06-25,high,,research_confirmed_pending_human_validation
ww_720ce59a9f20e7bfadc85555b161054d,Nopan,nopan.com,seed,2026-07-14,,,,https://nopan.com/news/nopan-raises-7-2-million,company_newsroom,Nopan,2026-07-14,high,,official_source_confirmed_pending_human_validation
fiber-ww_56b25277ea6331a1f5cbade586435e6b,Novel Financial Holdings,novelfh.com,private_equity,2026-06-22,,,,https://www.flexpointford.com/novel-financial-holdings-secures-investment-from-flexpoint-ford/,investor_announcement,Flexpoint Ford,2026-06-22,high,,research_confirmed_pending_human_validation
fiber-ww_25be717bd0b22c7fbfd283a54072cbc0,Odyssey,odyssey.ml,series_b,2026-06-17,310000000,USD,,https://odyssey.ml,company_newsroom,Odyssey,2026-06-17,high,,research_confirmed_pending_human_validation
ww_fab9bb4aa335f005731062f3e006908c,Ollama,ollama.com,series_b,2026-07-09,88000000,USD,,https://ollama.com/blog/all-aboard-open-models,company_newsroom,Ollama,2026-07-09,high,,official_source_confirmed_pending_human_validation
fiber-ww_92d627aff51c7b14643889bfa43e896c,Ora Computing,oracomputing.com,seed,2026-06-24,3500000,EUR,,https://xista.com/news/ora-computing-raises-eu3-5m-seed-round-to-build-the-efficiency-layer-of-the-ai-stack,investor_announcement,XISTA Science Ventures,2026-06-24,high,,research_confirmed_pending_human_validation
ww_5bb73d343dcf32fd34b59a8fcbd32d3f,PixVerse,pixverse.ai,Series C,2026-07-13,439000000,USD,,https://www.businesswire.com/news/home/20260713137347/en/,company_issued_wire,Business Wire,2026-07-13,high,,official_source_confirmed_pending_human_validation
fiber-ww_db1094af0ebb9071cd303c82bba4730f,Polysense,polysense.ai,seed,2026-07-08,10700000,USD,,https://polysense.ai,company_newsroom,Polysense,2026-07-08,high,,research_confirmed_pending_human_validation
ww_24fea5b9eac59861b8b37287ee55087e,Prime Intellect,primeintellect.ai,Series A,2026-07-08,130000000,USD,,https://www.primeintellect.ai/blog/series-a,company_newsroom,Prime Intellect,2026-07-08,high,,official_source_confirmed_pending_human_validation
ww_f7f21360922a153f4a22ca1ef2d44246,Project Q,project-q.ai,Series A,2026-07-14,15000000,EUR,,https://heliad.com/highlights/european-defense-tech-company-project-q-raises-e15m-to-further-develop-its-open-source-platform-hydris,investor_announcement,Heliad,2026-07-14,high,,official_source_confirmed_pending_human_validation
fiber-ww_d3fad599203ffa688a6e0c69ef3b30b2,Rainbow Crops,rainbowcrops.com,seed,2026-06-16,9700000,EUR,,https://rainbowcrops.com,company_newsroom,Rainbow Crops,2026-06-16,high,,research_confirmed_pending_human_validation
ww_55e14de42cfd33cc67ecfa296aa19b47,Ravee Optics,raveeoptics.com,Seed,2026-07-13,6000000,USD,,https://www.businesswire.com/news/home/20260713438881/en/,company_issued_wire,Business Wire,2026-07-13,high,,official_source_confirmed_pending_human_validation
ww_2a43c4686799e85efb30c0eaafc90114,Keyper,realkeyper.com,Series A,2026-07-08,11000000,USD,,https://www.zawya.com/en/press-release/companies-news/keyper-raises-us11mln-series-a-to-scale-monthly-rent-payments-and-digital-real-estate-infrastructure-across-the-uae,company_issued_wire,Zawya,2026-07-08,high,,official_source_confirmed_pending_human_validation
fiber-ww_44f7f3224c7b3f2b3fc6e7d5674d5d57,ReForest Latam,reforest-latam.com,pre_seed,2026-06-24,,,,https://mercycorpsventures.com,investor_announcement,Mercy Corps Ventures,2026-06-24,medium,,research_confirmed_pending_human_validation
ww_20d00167f18f6d37a6388b551d7cd2b5,Rime,rime.ai,Series A,2026-07-15,24000000,USD,,https://www.businesswire.com/news/home/20260715/Rime-Raises-24-Million-Series-A,company_issued_wire,Business Wire,2026-07-15,high,,official_source_confirmed_pending_human_validation
ww_bba8720448c43549cd0f9ecf795e14ba,Risk Ledger,riskledger.com,Series B,2026-07-15,24000000,GBP,,https://riskledger.com/company/risk-ledger-secures-24-million-in-series-b-funding,company_newsroom,Risk Ledger,2026-07-15,high,,official_source_confirmed_pending_human_validation
fiber-ww_fc07bc0bfc29c85a3cab832f55fa1822,respond.io,rspd.link,series_b,2026-06-16,62500000,USD,,https://www.businesswire.com,company_issued_wire,Business Wire,2026-06-16,high,,research_confirmed_pending_human_validation
ww_3986d001ab0c3fc668b42981df0a73c9,SambaNova Systems,sambanova.ai,Series F,2026-07-08,1000000000,USD,,https://www.businesswire.com/news/home/20260708000000/en/SambaNova-Completes-First-Close-of-1-Billion-Financing-at-11-Billion-Valuation,company_issued_wire,Business Wire,2026-07-08,high,,official_source_confirmed_pending_human_validation
ww_e7effef606a3ec4ba831e8567110578c,Sodex Innovations,sodex-innovations.com,seed,2026-07-13,4000000,EUR,,https://sodex-innovations.com/news/sodex-innovations-secures-4m-to-bring-real-time-intelligence-to-construction-sites,company_newsroom,Sodex Innovations,2026-07-13,high,,official_source_confirmed_pending_human_validation
ww_15ff25b5188222c73e844cf3a0e43be3,Spectro Cloud,spectrocloud.com,Series D,2026-07-15,100000000,USD,,https://www.spectrocloud.com/news/spectro-cloud-raises-100-million-series-d,company_newsroom,Spectro Cloud,2026-07-15,high,,official_source_confirmed_pending_human_validation
fiber-ww_faafbd58744e601ba11c222b94e4fd46,カーボンリンク株式会社,styleai.co.jp,series_a,2026-06-26,,,,https://carbonlink.co.jp/,company_newsroom,Carbonlink Inc.,2026-06-26,high,,research_confirmed_pending_human_validation
fiber-ww_e9dae5df3131c3f82fafb0231cc274b7,Telgea,telgea.com,series_a,2026-07-01,,USD,5200000,https://www.prweb.com/releases/telgea-partners-with-fastweb--vodafone-to-transform-global-enterprise-telecom-302186716.html,company_issued_wire,PRWeb,2026-07-01,high,,research_confirmed_pending_human_validation
fiber-ww_b41fedf62ade6e68447c5c6ac9dd99b8,The Protein Brewery,theproteinbrewery.com,series_b,2026-06-29,18000000,EUR,70000000,https://www.bom.nl,investor_announcement,Brabant Development Agency (BOM),2026-06-29,high,,research_confirmed_pending_human_validation
ww_b567b5bb7ee501f634e9a8d053d1b970,TYLsemi,tylsemi.ai,early_stage,2026-07-14,43000000,USD,,https://www.prnewswire.com/news-releases/tylsemi-raises-43-million-to-launch-first-full-stack-chiplet-platform-for-custom-ai-silicon-302196000.html,company_issued_wire,PR Newswire,2026-07-14,high,,official_source_confirmed_pending_human_validation
ww_6e20da781b52ff31c47e76238f9c18d8,Udaan,udaan.com,Structured financing,2026-07-14,160000000,USD,,https://udaan.com/blog/udaan-announces-usd-160-million-financing,company_newsroom,Udaan,2026-07-14,medium,,official_source_confirmed_pending_human_validation
fiber-ww_f4b2a52bccfff8f754a894f04b2f4d20,Maia,usemaia.com,seed,2026-06-16,1200000,USD,,https://www.prnewswire.com/news-releases/maia-closes-seed-round-to-accelerate-ai-powered-medical-coding-and-revenue-cycle-management-for-orthopaedic-practices-302802322.html,company_issued_wire,PR Newswire,2026-06-16,high,,research_confirmed_pending_human_validation
ww_6ccc4cb83d08d6ddbc40a3fa21ef88cb,Velocity,velocity.xyz,Series A,2026-07-14,38000000,USD,,https://velocity.xyz/blog/velocity-raises-38-million-series-a,company_newsroom,Velocity,2026-07-14,high,,official_source_confirmed_pending_human_validation
ww_808cf74cc7173780fd15cb41cf1a9181,Vendelux,vendelux.com,Series B,2026-07-08,50000000,USD,,https://firstmark.com/vendelux-raises-50m-series-b-to-bring-ai-led-intelligence-to-b2b-events/,investor_announcement,FirstMark Capital,2026-07-08,high,,official_source_confirmed_pending_human_validation
ww_ad6bc51e0fb4ee6b5c962854234445b5,Visibuilt,visibuilt.com,Seed,2026-07-13,3340000,EUR,,https://visibuilt.com/news/visibuilt-raises-eur-3-34-million-to-bring-biobased-binders-closer-to-market,company_newsroom,Visibuilt,2026-07-13,high,,official_source_confirmed_pending_human_validation
fiber-ww_881079824faa189254f0daa2d64299ef,Wakeline,wakeline.ai,pre_seed,2026-06-23,2100000,EUR,,https://wakeline.ai/news,company_newsroom,Wakeline,2026-06-23,high,,research_confirmed_pending_human_validation
fiber-ww_3f2a79335e0856b6eeedf00ed49e65a3,Wellbees,wellbees.co,series_a,2026-06-22,3600000,USD,,https://world.einnews.com/pr_news/920697417/wellbees-raises-3-6m-series-a-led-by-qatar-development-bank-to-accelerate-gulf-expansion,company_issued_wire,EIN Presswire,2026-06-22,high,,research_confirmed_pending_human_validation
fiber-ww_676598fa8e83b43780cc2cd4fb8a9c80,Wild Frontiers,wildfrontierstravel.com,Growth Capital,2026-06-18,,,,https://www.bgf.co.uk/news/bgf-backs-adventure-travel-specialist-wild-frontiers/,investor_announcement,BGF,2026-06-18,high,,research_confirmed_pending_human_validation
